gsn,drugname,strength,dosetype, cost 
000015,DIGOXIN,250 MCG/ML,AMPUL, $3.56 
000017,DIGOXIN,50 MCG/ML,SOLUTION, $2.27 
000018,DIGOXIN,125 MCG,TABLET, $0.32 
000019,DIGOXIN,250 MCG,TABLET, $0.29 
000033,CAFFEINE,200 MG,TABLET, $0.07 
000076,THEOPHYLLINE ANHYDROUS,80 MG/15ML,ELIXIR, $0.83 
000077,THEOPHYLLINE ANHYDROUS,80 MG/15ML,SOLUTION, $0.16 
000094,THEOPHYLLINE ANHYDROUS,400 MG,TAB ER 24H, $1.02 
000095,THEOPHYLLINE ANHYDROUS,450 MG,TAB ER 12H, $5.51 
000230,PROCAINAMIDE HCL,100 MG/ML,VIAL, $9.48 
000239,DISOPYRAMIDE PHOSPHATE,100 MG,CAPSULE, $1.62 
000240,DISOPYRAMIDE PHOSPHATE,150 MG,CAPSULE, $2.05 
000263,FLECAINIDE ACETATE,100 MG,TABLET, $0.27 
000264,FLECAINIDE ACETATE,150 MG,TABLET, $0.47 
000265,FLECAINIDE ACETATE,50 MG,TABLET, $0.17 
000266,AMIODARONE HCL,200 MG,TABLET, $0.19 
000267,MEXILETINE HCL,150 MG,CAPSULE, $0.76 
000268,MEXILETINE HCL,200 MG,CAPSULE, $1.63 
000269,MEXILETINE HCL,250 MG,CAPSULE, $1.08 
000283,HYDRALAZINE HCL,20 MG/ML,VIAL, $4.39 
000284,HYDRALAZINE HCL,10 MG,TABLET, $0.05 
000285,HYDRALAZINE HCL,100 MG,TABLET, $0.11 
000286,HYDRALAZINE HCL,25 MG,TABLET, $0.05 
000287,HYDRALAZINE HCL,50 MG,TABLET, $0.06 
000291,PRAZOSIN HCL,1 MG,CAPSULE, $0.07 
000292,PRAZOSIN HCL,2 MG,CAPSULE, $0.11 
000298,DIAZOXIDE,50 MG/ML,ORAL SUSP, $7.45 
000299,MINOXIDIL,10 MG,TABLET, $0.29 
000300,MINOXIDIL,2.5 MG,TABLET, $0.24 
000343,CLONIDINE,0.1MG/24HR,PATCH TDWK, $12.43 
000344,CLONIDINE,0.2MG/24HR,PATCH TDWK, $12.62 
000345,CLONIDINE,0.3MG/24HR,PATCH TDWK, $20.17 
000346,CLONIDINE HCL,0.1 MG,TABLET, $0.03 
000347,CLONIDINE HCL,0.2 MG,TABLET, $0.04 
000348,CLONIDINE HCL,0.3 MG,TABLET, $0.05 
000361,METHYLDOPA,250 MG,TABLET, $0.24 
000362,METHYLDOPA,500 MG,TABLET, $0.26 
000364,GUANFACINE HCL,1 MG,TABLET, $0.65 
000378,CAPTOPRIL,100 MG,TABLET, $2.20 
000379,CAPTOPRIL,12.5 MG,TABLET, $0.64 
000380,CAPTOPRIL,25 MG,TABLET, $0.69 
000381,CAPTOPRIL,50 MG,TABLET, $0.90 
000382,ENALAPRIL/HYDROCHLOROTHIAZIDE,10 MG-25MG,TABLET, $1.06 
000383,ENALAPRILAT DIHYDRATE,1.25 MG/ML,VIAL, $1.61 
000384,ENALAPRIL MALEATE,10 MG,TABLET, $0.10 
000385,ENALAPRIL MALEATE,2.5 MG,TABLET, $0.14 
000386,ENALAPRIL MALEATE,20 MG,TABLET, $0.11 
000387,ENALAPRIL MALEATE,5 MG,TABLET, $0.11 
000388,LISINOPRIL/HYDROCHLOROTHIAZIDE,20-12.5 MG,TABLET, $0.06 
000389,LISINOPRIL/HYDROCHLOROTHIAZIDE,20 MG-25MG,TABLET, $0.05 
000390,LISINOPRIL,10 MG,TABLET, $0.02 
000391,LISINOPRIL,20 MG,TABLET, $0.03 
000392,LISINOPRIL,40 MG,TABLET, $0.04 
000393,LISINOPRIL,5 MG,TABLET, $0.02 
000412,METOPROLOL/HYDROCHLOROTHIAZIDE,100MG-25MG,TABLET, $2.50 
000413,METOPROLOL/HYDROCHLOROTHIAZIDE,50 MG-25MG,TABLET, $0.92 
000414,METOPROLOL/HYDROCHLOROTHIAZIDE,100MG-50MG,TABLET, $1.25 
000419,ATENOLOL/CHLORTHALIDONE,100MG-25MG,TABLET, $0.66 
000420,ATENOLOL/CHLORTHALIDONE,50 MG-25MG,TABLET, $0.47 
000465,NITROGLYCERIN,0.4MG/HR,PATCH TD24, $1.04 
000466,NITROGLYCERIN,0.6MG/HR,PATCH TD24, $1.20 
000467,NITROGLYCERIN,0.1MG/HR,PATCH TD24, $16.75 
000468,NITROGLYCERIN,0.2MG/HR,PATCH TD24, $0.90 
000474,NITROGLYCERIN,0.3 MG,TAB SUBL, $0.27 
000475,NITROGLYCERIN,0.4 MG,TAB SUBL, $0.27 
000476,NITROGLYCERIN,0.6 MG,TAB SUBL, $0.39 
000507,ISOSORBIDE DINITRATE,10 MG,TABLET, $0.61 
000508,ISOSORBIDE DINITRATE,20 MG,TABLET, $0.53 
000509,ISOSORBIDE DINITRATE,30 MG,TABLET, $0.92 
000510,ISOSORBIDE DINITRATE,40 MG,TABLET, $13.18 
000511,ISOSORBIDE DINITRATE,5 MG,TABLET, $0.28 
000527,PAPAVERINE HCL,30 MG/ML,VIAL, $12.38 
000561,VERAPAMIL HCL,2.5 MG/ML,AMPUL, $11.87 
000563,VERAPAMIL HCL,2.5 MG/ML,VIAL, $1.26 
000564,VERAPAMIL HCL,120 MG,TABLET, $0.09 
000565,VERAPAMIL HCL,40 MG,TABLET, $0.19 
000566,VERAPAMIL HCL,80 MG,TABLET, $0.06 
000567,VERAPAMIL HCL,240 MG,TABLET ER, $0.22 
000568,NIFEDIPINE,10 MG,CAPSULE, $0.54 
000569,NIFEDIPINE,20 MG,CAPSULE, $1.33 
000570,DILTIAZEM HCL,120 MG,CAP ER 12H, $5.23 
000571,DILTIAZEM HCL,60 MG,CAP ER 12H, $3.50 
000572,DILTIAZEM HCL,90 MG,CAP ER 12H, $4.11 
000573,DILTIAZEM HCL,120 MG,TABLET, $0.43 
000574,DILTIAZEM HCL,30 MG,TABLET, $0.09 
000575,DILTIAZEM HCL,60 MG,TABLET, $0.19 
000576,DILTIAZEM HCL,90 MG,TABLET, $0.32 
000577,NICARDIPINE HCL,20 MG,CAPSULE, $2.15 
000578,NICARDIPINE HCL,30 MG,CAPSULE, $2.09 
000579,NIMODIPINE,30 MG,CAPSULE, $3.45 
000586,SODIUM CHLORIDE FOR INHALATION,0.9 %,VIAL-NEB, $0.03 
