gsn,drugname,strength,dosetype, price 
000015,DIGOXIN,250 MCG/ML,AMPUL, $3.45 
000017,DIGOXIN,50 MCG/ML,SOLUTION, $1.90 
000018,DIGOXIN,125 MCG,TABLET, $0.17 
000019,DIGOXIN,250 MCG,TABLET, $0.24 
000033,CAFFEINE,200 MG,TABLET, $0.07 
000076,THEOPHYLLINE ANHYDROUS,80 MG/15ML,ELIXIR, $0.90 
000077,THEOPHYLLINE ANHYDROUS,80 MG/15ML,SOLUTION, $0.28 
000093,THEOPHYLLINE ANHYDROUS,300 MG,TAB ER 12H, $1.30 
000094,THEOPHYLLINE ANHYDROUS,400 MG,TAB ER 24H, $1.01 
000095,THEOPHYLLINE ANHYDROUS,450 MG,TAB ER 12H, $2.71 
000215,QUINIDINE GLUCONATE,324 MG,TABLET ER, $10.12 
000230,PROCAINAMIDE HCL,100 MG/ML,VIAL, $9.48 
000239,DISOPYRAMIDE PHOSPHATE,100 MG,CAPSULE, $1.74 
000240,DISOPYRAMIDE PHOSPHATE,150 MG,CAPSULE, $2.49 
000263,FLECAINIDE ACETATE,100 MG,TABLET, $0.24 
000264,FLECAINIDE ACETATE,150 MG,TABLET, $0.47 
000265,FLECAINIDE ACETATE,50 MG,TABLET, $0.16 
000266,AMIODARONE HCL,200 MG,TABLET, $0.17 
000267,MEXILETINE HCL,150 MG,CAPSULE, $0.51 
000268,MEXILETINE HCL,200 MG,CAPSULE, $0.81 
000269,MEXILETINE HCL,250 MG,CAPSULE, $0.97 
000283,HYDRALAZINE HCL,20 MG/ML,VIAL, $4.39 
000284,HYDRALAZINE HCL,10 MG,TABLET, $0.05 
000285,HYDRALAZINE HCL,100 MG,TABLET, $0.11 
000286,HYDRALAZINE HCL,25 MG,TABLET, $0.05 
000287,HYDRALAZINE HCL,50 MG,TABLET, $0.06 
000291,PRAZOSIN HCL,1 MG,CAPSULE, $0.07 
000292,PRAZOSIN HCL,2 MG,CAPSULE, $0.11 
000293,PRAZOSIN HCL,5 MG,CAPSULE, $0.15 
000298,DIAZOXIDE,50 MG/ML,ORAL SUSP, $7.45 
000299,MINOXIDIL,10 MG,TABLET, $0.29 
000300,MINOXIDIL,2.5 MG,TABLET, $0.15 
000343,CLONIDINE,0.1MG/24HR,PATCH TDWK, $10.42 
000344,CLONIDINE,0.2MG/24HR,PATCH TDWK, $12.87 
000345,CLONIDINE,0.3MG/24HR,PATCH TDWK, $15.38 
000346,CLONIDINE HCL,0.1 MG,TABLET, $0.03 
000347,CLONIDINE HCL,0.2 MG,TABLET, $0.05 
000348,CLONIDINE HCL,0.3 MG,TABLET, $0.05 
000364,GUANFACINE HCL,1 MG,TABLET, $0.34 
000378,CAPTOPRIL,100 MG,TABLET, $1.57 
000379,CAPTOPRIL,12.5 MG,TABLET, $0.72 
000380,CAPTOPRIL,25 MG,TABLET, $0.65 
000381,CAPTOPRIL,50 MG,TABLET, $0.90 
000382,ENALAPRIL/HYDROCHLOROTHIAZIDE,10 MG-25MG,TABLET, $1.06 
000384,ENALAPRIL MALEATE,10 MG,TABLET, $0.09 
000385,ENALAPRIL MALEATE,2.5 MG,TABLET, $0.05 
000386,ENALAPRIL MALEATE,20 MG,TABLET, $0.09 
000387,ENALAPRIL MALEATE,5 MG,TABLET, $0.08 
000388,LISINOPRIL/HYDROCHLOROTHIAZIDE,20-12.5 MG,TABLET, $0.06 
